time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2017-06-08,26.2,0.0,16.6,90,47156.72,Orleans,6,0,1,1,0,0,2,2,0
2017-06-09,21.6,9.0,21.2,93,48405.88,Orleans,6,0,1,1,0,0,1,1,0
2017-06-10,25.8,0.0,8.0,86,52073.52,Orleans,6,0,1,1,0,0,2,2,0
2017-06-11,28.4,0.3,17.3,92,51679.65,Orleans,6,0,1,1,0,0,1,1,0
2017-06-12,21.7,0.1,17.8,73,51751.98,Orleans,6,0,1,1,0,0,1,1,0
2017-06-13,23.5,0.0,15.0,86,44603.74,Orleans,6,0,1,1,0,0,2,2,0
2017-06-14,28.1,0.0,11.9,85,44519.12,Orleans,6,0,1,1,0,0,2,2,0
2017-06-15,28.6,0.0,19.1,94,51827.65,Orleans,6,0,1,1,0,0,2,2,0
2017-06-16,23.6,0.0,15.3,79,51902.42,Orleans,6,0,1,1,0,0,2,2,0
2017-06-17,26.9,0.0,18.5,78,52181.91,Orleans,6,0,1,1,0,0,2,2,0
2017-06-18,28.8,0.0,20.3,84,52276.5,Orleans,6,0,1,1,0,0,2,2,0
2017-06-19,32.7,0.0,13.4,75,52275.91,Orleans,6,0,1,1,0,0,1,1,0
2017-06-20,34.0,0.0,9.5,71,41604.8,Orleans,6,0,1,1,0,0,1,1,0
2017-06-21,35.0,0.1,10.2,80,49626.37,Orleans,6,0,1,1,0,0,1,1,0
2017-06-22,33.9,0.0,19.8,71,51814.41,Orleans,6,0,1,1,0,0,1,1,0
2017-06-23,25.4,0.0,15.8,74,51950.11,Orleans,6,0,1,1,0,0,2,2,0
2017-06-24,24.2,0.0,19.9,85,43201.85,Orleans,6,0,1,1,0,0,2,2,0
2017-06-25,24.2,0.6,19.6,79,23879.78,Orleans,6,0,1,1,0,0,1,1,0
2017-06-26,29.5,7.2,17.9,95,35192.06,Orleans,6,0,1,1,0,0,1,1,0
2017-06-27,24.7,5.4,15.5,96,34366.5,Orleans,6,0,1,1,0,0,1,1,0
2017-06-28,22.8,9.3,22.5,94,34806.43,Orleans,6,0,1,1,0,0,1,1,0
2017-06-29,19.1,7.4,27.0,94,44065.23,Orleans,6,0,1,1,0,0,1,1,0
2017-06-30,18.1,5.2,24.5,84,27701.18,Orleans,6,0,1,1,0,0,1,1,0
2017-07-01,18.2,7.9,19.7,93,9025.43,Orleans,7,0,1,1,0,0,1,1,0
2017-07-02,19.4,0.6,16.7,90,2427.37,Orleans,7,0,1,1,0,0,1,1,0
2017-07-03,23.3,0.1,16.1,98,45137.46,Orleans,7,0,1,1,0,0,1,1,0
2017-07-04,27.0,0.0,11.1,92,51630.2,Orleans,7,0,1,1,0,0,2,2,0
2017-07-05,31.1,0.1,14.4,89,47782.02,Orleans,7,0,1,1,0,0,1,1,0
2017-07-06,33.6,0.1,17.1,82,51183.41,Orleans,7,0,1,1,0,0,1,1,0
2017-07-07,31.1,0.3,14.3,86,51270.16,Orleans,7,0,1,1,0,0,1,1,0
2017-07-08,31.1,0.0,14.9,60,45121.64,Orleans,7,0,1,1,0,0,2,1,0
2017-07-09,28.3,3.3,15.6,83,42834.38,Orleans,7,0,1,1,0,0,1,1,0
2017-07-10,22.1,15.6,15.6,100,19386.81,Orleans,7,0,1,1,0,0,1,1,0
2017-07-11,22.8,0.3,20.1,84,33477.57,Orleans,7,0,1,1,0,0,1,1,0
2017-07-12,22.0,3.5,23.4,85,3414.23,Orleans,7,0,1,1,0,0,1,1,0
